rid,UserLanguage,platform,duration,latitude,longitude,age,gender,firstlang,country,emotion,valence,arousal,temp_cat,response
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Unhappy, Dissatisfied",4,3,temp30,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Relaxed, Calm",4,3,temp40,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Happy, Satisfied",4,3,temp40,4
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Tense, Bothered",4,3,temp30,4
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Tense, Bothered",4,3,temp0,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Happy, Satisfied",4,3,temp10,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Happy, Satisfied",4,3,temp30,3
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Blue, Uninspired",4,3,temp20,2
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Passive, Quiet",4,3,temp40,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Enthusiastic, Inspired",4,3,temp10,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Passive, Quiet",4,3,temp0,4
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Jittery, Nervous",4,3,temp10,2
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Relaxed, Calm",4,3,temp30,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Active, Alert",4,3,temp0,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Dull, Bored",4,3,temp30,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Active, Alert",4,3,temp20,3
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Secure, At ease",4,3,temp40,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Jittery, Nervous",4,3,temp40,5
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Happy, Satisfied",4,3,temp0,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Blue, Uninspired",4,3,temp30,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Unhappy, Dissatisfied",4,3,temp10,4
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Relaxed, Calm",4,3,temp10,3
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Energetic, Excited",4,3,temp30,3
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Blue, Uninspired",4,3,temp10,4
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Tense, Bothered",4,3,temp20,2
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Active, Alert",4,3,temp30,4
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Dull, Bored",4,3,temp20,2
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Secure, At ease",4,3,temp0,5
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Dull, Bored",4,3,temp10,4
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Jittery, Nervous",4,3,temp30,4
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Active, Alert",4,3,temp10,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Unhappy, Dissatisfied",4,3,temp20,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Energetic, Excited",4,3,temp40,4
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Blue, Uninspired",4,3,temp0,4
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Blue, Uninspired",4,3,temp40,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Tense, Bothered",4,3,temp40,4
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Unhappy, Dissatisfied",4,3,temp40,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Tense, Bothered",4,3,temp10,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Active, Alert",4,3,temp40,5
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Energetic, Excited",4,3,temp10,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Jittery, Nervous",4,3,temp20,3
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Enthusiastic, Inspired",4,3,temp40,5
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Happy, Satisfied",4,3,temp20,2
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Passive, Quiet",4,3,temp10,2
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Secure, At ease",4,3,temp30,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Secure, At ease",4,3,temp20,3
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Enthusiastic, Inspired",4,3,temp20,2
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Jittery, Nervous",4,3,temp0,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Energetic, Excited",4,3,temp0,1
