"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2017 BV93)","8","24.9","18 - 81","5","6.575, 346","6.863, 330","343682","? 2033-09 [22.1] ?","none","bK17B93V"
"(2017 EB3)","20","25.0","17 - 78","2","5.627, 346","6.992, 314","341804","2035-01 [22.0]","none","bK17E03B"
"(2022 QO6)","3","25.2","16 - 71","7","6.221, 298","6.992, 162","339012","2022-09 [20.9]","none","bK22Q06O"
"(2010 XF3)","15","24.4","23 - 103","6","6.800, 354","6.987, 346","336995","2023-09 [23.7]","none","bK10X03F"
"(2020 BR2)","7","25.8","12 - 54","6","5.522, 354","6.958, 322","336237","? 2036-05 [23.5] ?","none","bK20B02R"
"(2012 BA35)","37","23.8","31 - 138","0","6.299, 354","6.987, 338","335631","2031-05 [22.9]","none","bK12B35A"
"(2021 BM)","14","25.3","15 - 67","4","6.908, 234","6.998, 218","333464","2029-09 [23.9]","none","bK21B00M"
"(2019 LX1)","7","24.5","22 - 98","4","6.017, 354","6.954, 202","332693","2027-01 [22.6]","none","bK19L01X"
"(2012 KB4)","9","25.4","14 - 65","0","6.731, 202","6.917, 186","325971","2028-03 [21.8]","none","bK12K04B"
"(2001 BA16)","20","26.0","11 - 49","6","6.122, 354","6.978, 322","325368","? 2032-01 [19.6] ?","none","bK01B16A"
"(2019 QW2)","8","24.8","19 - 85","3","5.178, 354","6.985, 322","324326","2038-07 [22.8]","none","bK19Q02W"
"(2014 LK21)","14","25.9","11 - 51","4","6.545, 354","6.905, 338","323755","2031-03 [23.4]","none","bK14L21K"
"(2019 WV)","22","24.9","18 - 81","5","5.685, 354","6.989, 290","322100","2027-03 [22.9]","2027-11 [480]","bK19W00V"
"341843 (2008 EV5)","107","20.1","168 - 753","1","6.641, 354","6.993, 202","320843","2022-10 [20.9]","2023-12 [260]","a0341843"
"(2021 OH2)","11","25.1","17 - 76","5","6.597, 330","6.961, 298","319393","2027-11 [23.5]","none","bK21O02H"
"(2022 LF)","13","23.1","41 - 184","4","6.081, 354","6.999, 330","319123","2022-09 [20.6]","none","bK22L00F"
"(2022 HX)","13","26.0","11 - 48","6","5.873, 354","6.977, 186","318876","? 2030-10 [21.7] ?","none","bK22H00X"
"(2017 AR4)","13","24.8","19 - 85","4","6.411, 354","6.994, 346","309011","2043-04 [22.6]","none","bK17A04R"
"(2015 PL57)","15","25.7","13 - 56","2","6.379, 298","6.960, 234","308019","2027-12 [23.7]","none","bK15P57L"
"(2021 GS12)","3","25.6","13 - 59","4","6.982, 354","6.982, 354","304130","2032-04 [21.8]","none","bK21G12S"
"(2007 RO17)","8","25.8","12 - 54","7","6.917, 346","6.978, 330","302395","? 2024-11 [21.3] ?","none","bK07R17O"
"(2012 EC)","42","23.3","38 - 170","0","6.475, 234","6.991, 154","301906","2022-11 [21.6]","2038-06 [270]","bK12E00C"
"(2019 GJ4)","8","26.0","11 - 49","2","6.804, 354","7.000, 346","295758","2023-08 [23.5]","none","bK19G04J"
"(2021 XH3)","12","25.1","17 - 76","5","6.993, 346","6.993, 346","293426","2030-12 [22.2]","none","bK21X03H"
"(2014 CH13)","7","24.7","20 - 90","0","6.585, 354","6.906, 322","289550","2026-01 [21.2]","none","bK14C13H"
"(2018 RQ1)","14","24.2","25 - 112","5","6.842, 282","6.984, 154","284208","2032-07 [20.2]","2032-09 [43]","bK18R01Q"
"(2012 UW68)","17","24.8","19 - 85","4","6.729, 330","6.986, 178","281775","2024-07 [23.4]","none","bK12U68W"
"(2019 JU5)","13","24.0","27 - 122","0","6.663, 346","6.971, 330","280732","2027-10 [24.0]","none","bK19J05U"
"(2018 MQ5)","17","24.1","26 - 118","3","5.986, 354","6.958, 330","279016","2027-11 [21.8]","none","bK18M05Q"
"99942 Apophis (2004 MN4)","216","19.1","264 - 1183","0","6.049, 354","6.950, 322","272328","2027-02 [21.0]","2029-04 [8.e10]","a0099942"
"(2015 RW83)","8","24.1","26 - 118","6","6.550, 354","6.963, 346","272149","2022-09 [24.0]","none","bK15R83W"
"(2017 RP2)","18","23.8","30 - 135","4","6.963, 194","6.963, 194","270185","2023-09 [23.8]","none","bK17R02P"
"(2018 KP1)","19","25.0","17 - 78","1","5.320, 354","6.883, 306","268419","none","none","bK18K01P"
"(2021 NS8)","6","25.0","17 - 77","6","6.994, 346","6.995, 338","266828","? 2029-07 [23.8] ?","none","bK21N08S"
"(2021 AY5)","18","24.9","18 - 80","5","6.518, 354","6.988, 330","265466","2029-05 [23.0]","none","bK21A05Y"
"(2001 QE71)","17","24.4","23 - 103","6","5.678, 354","6.986, 306","258767","2029-08 [22.2]","none","bK01Q71E"
"(2017 BW)","43","23.5","35 - 156","1","6.590, 354","6.975, 338","257577","2026-10 [21.5]","none","bK17B00W"
"(2020 RO3)","8","25.2","16 - 71","5","6.625, 354","6.625, 354","253035","2029-12 [22.9]","none","bK20R03O"
"(2017 WZ14)","7","25.1","17 - 74","4","6.376, 354","6.940, 314","248690","2034-07 [22.4]","none","bK17W14Z"
"(2009 BF2)","12","25.9","11 - 51","6","5.959, 354","6.838, 338","248618","? 2032-01 [18.7] ?","none","bK09B02F"
"(2013 SB20)","6","24.8","19 - 85","7","6.198, 178","6.989, 154","248179","? 2030-09 [19.7] ?","none","bK13S20B"
"(2007 WA)","13","24.7","20 - 89","6","6.030, 354","6.993, 338","244721","? 2027-10 [21.0] ?","none","bK07W00A"
"(2016 AB9)","8","24.7","20 - 89","5","5.765, 354","6.988, 330","237973","2026-01 [23.0]","none","bK16A09B"
"(2013 HO)","11","25.9","11 - 51","6","5.947, 354","6.996, 338","236168","? 2041-03 [23.4] ?","none","bK13H00O"
"(2017 HZ4)","16","25.8","12 - 54","5","6.672, 354","6.997, 330","235187","2030-03 [22.0]","none","bK17H04Z"
"(2016 CV246)","20","25.4","14 - 65","4","5.985, 354","6.913, 346","232504","2028-07 [22.9]","2042-08 [11]","bK16CO6V"
"(2021 WD6)","3","24.6","21 - 94","7","6.823, 354","6.823, 354","231509","? 2031-02 [21.0] ?","none","bK21W06D"
"(2022 GL1)","2","24.6","21 - 92","5","6.298, 338","6.959, 314","230934","2022-10 [22.8]","none","bK22G01L"
"(2012 UX136)","13","25.6","13 - 59","6","6.143, 354","6.943, 330","228412","? 2029-08 [24.0] ?","none","bK12UD6X"
"(2016 GL222)","10","25.8","12 - 54","7","6.474, 354","6.956, 138","214425","? 2036-09 [23.5] ?","none","bK16GM2L"
"(2013 XY20)","22","25.6","13 - 59","0","6.844, 354","6.983, 346","214362","2025-08 [23.3]","none","bK13X20Y"
"(2014 QH33)","22","24.4","23 - 101","0","6.512, 354","6.893, 346","214268","2022-10 [23.0]","none","bK14Q33H"
"(2003 LN6)","21","24.7","20 - 89","0","6.705, 250","6.968, 186","213160","2026-04 [17.1]","2026-06 [1100]","bK03L06N"
"(2017 FP101)","11","24.7","20 - 89","6","5.917, 354","6.958, 330","212411","? 2025-06 [23.3] ?","none","bK17FA1P"
"(2013 YM2)","10","25.7","13 - 56","1","6.607, 202","6.975, 178","208478","2037-10 [22.0]","2043-01 [60]","bK13Y02M"
"(2015 DJ215)","22","24.1","26 - 116","0","6.832, 354","6.980, 330","199244","2026-12 [22.3]","none","bK15DL5J"
"(2020 UB5)","12","25.1","17 - 74","4","6.810, 354","6.962, 346","198298","2031-09 [20.8]","none","bK20U05B"
"(2011 FS9)","9","23.6","33 - 148","3","6.453, 354","6.990, 346","198265","2028-08 [23.5]","none","bK11F09S"
"(2016 ND1)","12","25.3","15 - 68","2","6.107, 354","6.993, 346","195951","2030-02 [23.6]","none","bK16N01D"
"(2019 YL6)","3","25.3","15 - 68","6","6.820, 194","6.937, 186","195313","? 2028-12 [18.8] ?","none","bK19Y06L"
"(2014 MP)","10","26.0","11 - 49","6","6.248, 354","6.969, 170","193904","? 2028-06 [18.9] ?","none","bK14M00P"
"(2012 VM6)","9","25.3","15 - 68","1","6.757, 354","6.933, 338","188090","2024-03 [22.9]","none","bK12V06M"
"(2020 RO1)","14","25.3","15 - 68","5","6.804, 354","6.986, 170","187530","2031-08 [23.6]","none","bK20R01O"
"(2014 UX7)","11","25.6","13 - 59","6","6.667, 354","6.966, 346","182783","? 2029-02 [23.8] ?","none","bK14U07X"
"(2014 YF)","20","22.4","57 - 253","0","6.569, 346","6.981, 338","181624","2022-12 [23.7]","none","bK14Y00F"
"(1997 YM9)","18","24.4","23 - 104","0","6.329, 354","6.898, 162","179705","2029-06 [22.6]","2045-01 [12]","bJ97Y09M"
"(2001 VE2)","13","25.0","17 - 78","7","6.087, 354","6.831, 322","178745","? 2023-07 [23.8] ?","none","bK01V02E"
"(2021 VK4)","3","25.0","17 - 78","7","6.551, 354","6.951, 338","178719","? 2031-03 [22.7] ?","none","bK21V04K"
"(2014 JV54)","17","25.9","11 - 51","2","5.897, 354","6.989, 338","174755","2030-05 [22.9]","none","bK14J54V"
"(2006 XW)","19","23.2","39 - 174","0","6.980, 354","6.980, 354","174702","2028-07 [23.4]","none","bK06X00W"
"(2015 RF36)","38","23.4","36 - 163","5","6.630, 354","6.939, 346","174018","2027-06 [20.8]","none","bK15R36F"
"(2016 NC1)","6","25.4","14 - 65","6","6.846, 354","6.846, 354","168211","2025-07 [22.8]","none","bK16N01C"
"(2021 CC2)","38","22.9","45 - 200","5","6.974, 354","6.974, 354","166911","2028-11 [23.4]","none","bK21C02C"
"(2019 FU2)","9","25.9","11 - 51","5","5.994, 354","6.972, 338","162713","? 2039-09 [22.9] ?","none","bK19F02U"
"(2021 KY2)","10","25.3","15 - 67","6","6.613, 186","6.922, 178","162382","? 2032-10 [22.6] ?","none","bK21K02Y"
"(2021 JR7)","11","25.4","14 - 65","6","6.348, 178","6.988, 162","162163","2029-05 [23.4]","none","bK21J07R"
"(2021 AR5)","11","25.6","14 - 60","6","6.973, 210","6.973, 210","157131","2024-12 [23.4]","none","bK21A05R"
"(2019 LV)","4","23.9","29 - 129","7","6.622, 354","6.922, 346","148153","? 2026-07 [22.3] ?","none","bK19L00V"
"(2007 SQ6)","21","21.9","73 - 324","3","6.941, 354","6.941, 354","145864","2022-09 [22.8]","2025-04 [95]","bK07S06Q"
"(2018 CQ3)","11","25.2","16 - 71","4","6.840, 354","6.924, 346","145226","2022-09 [23.9]","none","bK18C03Q"
"(2010 UP)","24","25.0","18 - 79","0","6.500, 354","6.500, 354","142020","2033-06 [23.6]","none","bK10U00P"
"(2011 MQ3)","15","24.8","19 - 85","6","6.852, 354","6.991, 346","140153","? 2029-12 [22.2] ?","none","bK11M03Q"
"(2021 VG5)","6","25.9","12 - 52","6","6.561, 354","6.984, 330","139738","none","none","bK21V05G"
"(2021 LC)","8","26.0","11 - 48","6","6.655, 186","6.989, 170","138705","? 2036-12 [24.0] ?","none","bK21L00C"
"(2020 LV)","11","25.3","15 - 68","4","6.007, 354","6.844, 314","136763","2027-05 [20.5]","2027-06 [21]","bK20L00V"
"(2014 JJ55)","8","25.3","15 - 68","6","6.996, 354","6.996, 354","135460","? 2038-11 [22.1] ?","none","bK14J55J"
"(2020 XW3)","6","25.7","13 - 56","6","6.808, 354","6.808, 354","134260","none","none","bK20X03W"
"(2003 RU11)","20","25.5","14 - 62","3","6.051, 346","6.962, 194","134175","2034-07 [19.4]","2034-09 [560]","bK03R11U"
"(2018 UM1)","31","23.6","33 - 148","1","6.688, 330","6.883, 314","129493","2023-12 [22.3]","none","bK18U01M"
"(2008 JE)","10","25.8","12 - 54","4","6.297, 354","6.875, 346","126507","none","none","bK08J00E"
"(2018 HW1)","7","25.8","12 - 54","6","6.366, 354","7.000, 338","122504","? 2040-10 [22.6] ?","none","bK18H01W"
"(2018 MD7)","16","22.7","50 - 224","2","6.222, 354","6.969, 338","121431","2029-03 [22.4]","none","bK18M07D"
"(2006 QV89)","23","25.5","14 - 62","0","6.653, 306","6.972, 274","118261","2032-06 [23.8]","none","bK06Q89V"
"(2011 DV)","31","20.6","132 - 590","2","6.586, 178","6.967, 170","103573","2023-03 [21.6]","2040-04 [7800]","bK11D00V"
"(2021 JL)","2","26.0","11 - 49","7","6.639, 354","6.945, 346","91934","? 2026-10 [21.7] ?","none","bK21J00L"
"(2018 XG2)","3","25.1","17 - 74","6","6.690, 354","6.690, 354","88174","? 2042-04 [21.6] ?","none","bK18X02G"
"(2016 AW65)","9","24.1","26 - 118","6","6.857, 354","6.857, 354","86346","2024-03 [23.3]","none","bK16A65W"
"(2016 EJ156)","14","25.8","12 - 54","5","6.907, 354","6.953, 346","85654","? 2033-05 [24.0] ?","none","bK16EF6J"
"(2021 XA6)","14","24.8","19 - 84","5","6.963, 354","6.963, 354","85598","2038-01 [23.4]","none","bK21X06A"
"(2014 OV3)","39","23.2","40 - 178","0","6.933, 354","6.933, 354","81124","2026-03 [22.2]","none","bK14O03V"
"(2007 UP6)","19","23.0","44 - 195","2","6.902, 354","6.902, 354","74449","2026-09 [22.7]","none","bK07U06P"
"(2021 FC3)","5","25.6","13 - 59","7","6.787, 290","6.983, 210","70793","none","none","bK21F03C"
"(2020 XC4)","11","26.0","11 - 49","5","6.993, 186","6.993, 186","70699","? 2033-09 [20.5] ?","none","bK20X04C"
"(2002 TZ66)","18","25.9","11 - 51","3","6.784, 354","6.784, 354","64984","2028-10 [19.5]","2028-10 [77]","bK02T66Z"
"(2006 YP)","15","23.9","29 - 129","0","6.817, 354","6.817, 354","45268","2023-08 [23.4]","2029-05 [27]","bK06Y00P"
