Date,Temp_Max,Temp_Min,Temp_Avg,Temp_Departure,HDD,CDD,Prec,New_Snow_,Snow_Dept,FID
2020/01/30 00:00:00+00,70,45,57.5,-0.2,7,0,0,0,M,180
2020/05/12 00:00:00+00,96,73,84.5,3.6,0,20,0,0,M,181
2020/03/25 00:00:00+00,77,55,66,-1.1,0,1,0,0,M,182
2020/08/23 00:00:00+00,110,89,99.5,6.3,0,35,0,0,0,183
2020/12/05 00:00:00+00,71,42,56.5,-0.2,8,0,0,0,0,184
2020/07/03 00:00:00+00,105,85,95,0.5,0,30,0,0,M,185
2020/10/16 00:00:00+00,102,68,85,8.4,0,20,0,0,0,186
2020/01/31 00:00:00+00,73,44,58.5,0.7,6,0,0,0,M,187
2020/05/13 00:00:00+00,91,70,80.5,-0.7,0,16,0,0,0,188
2020/03/26 00:00:00+00,70,59,64.5,-2.8,0,0,0,0,M,189
2020/08/24 00:00:00+00,115,90,102.5,9.3,0,38,0,0,0,190
2020/12/06 00:00:00+00,71,42,56.5,0,8,0,0,0,0,191
2020/07/04 00:00:00+00,110,86,98,3.4,0,33,0,0,M,192
2020/10/17 00:00:00+00,97,69,83,6.8,0,18,0,0,0,193
2020/02/01 00:00:00+00,78,46,62,4.1,3,0,0,M,M,194
2020/05/14 00:00:00+00,91,69,80,-1.5,0,15,0,0,0,195
2020/03/27 00:00:00+00,66,52,59,-8.5,6,0,T,0,0,196
2020/08/25 00:00:00+00,112,91,101.5,8.4,0,37,0,0,0,197
2020/12/07 00:00:00+00,80,44,62,5.7,3,0,0,0,0,198
2020/07/05 00:00:00+00,112,87,99.5,4.8,0,35,0,0,M,199
2020/10/18 00:00:00+00,96,65,80.5,4.7,0,16,0,0,0,200
2020/02/02 00:00:00+00,79,49,64,6,1,0,0,M,M,201
2020/05/15 00:00:00+00,94,69,81.5,-0.3,0,17,0,0,0,202
2020/05/16 00:00:00+00,98,71,84.5,2.4,0,20,0,0,0,203
2020/05/17 00:00:00+00,102,74,88,5.6,0,23,0,0,M,204
2020/05/18 00:00:00+00,101,73,87,4.3,0,22,0,0,M,205
2020/05/19 00:00:00+00,91,72,81.5,-1.5,0,17,0,0,0,206
2020/05/20 00:00:00+00,86,63,74.5,-8.8,0,10,0,0,M,207
2020/05/21 00:00:00+00,92,64,78,-5.6,0,13,0,0,M,208
2020/05/22 00:00:00+00,96,66,81,-2.9,0,16,0,0,M,209
2020/05/23 00:00:00+00,95,70,82.5,-1.7,0,18,0,0,0,210
2020/05/24 00:00:00+00,95,71,83,-1.5,0,18,0,0,0,211
2020/05/25 00:00:00+00,97,70,83.5,-1.3,0,19,0,0,0,212
2020/05/26 00:00:00+00,103,72,87.5,2.4,0,23,0,0,0,213
2020/05/27 00:00:00+00,107,74,90.5,5.1,0,26,0,0,M,214
2020/05/28 00:00:00+00,109,79,94,8.3,0,29,0,0,M,215
2020/05/29 00:00:00+00,112,82,97,11,0,32,0,0,M,216
2020/05/30 00:00:00+00,111,84,97.5,11.2,0,33,0,0,M,217
2020/05/31 00:00:00+00,107,83,95,8.4,0,30,0,0,M,218
2020/06/01 00:00:00+00,105,82,93.5,6.7,0,29,0,0,0,219
2020/06/02 00:00:00+00,107,87,97,9.9,0,32,0,0,0,220
2020/06/03 00:00:00+00,110,85,97.5,10.1,0,33,0,0,M,221
2020/06/04 00:00:00+00,112,84,98,10.3,0,33,0,0,0,222
2020/06/05 00:00:00+00,107,85,96,8,0,31,T,0,0,223
2020/06/06 00:00:00+00,93,74,83.5,-4.8,0,19,0,0,0,224
2020/06/07 00:00:00+00,97,76,86.5,-2.1,0,22,0,0,0,225
2020/03/28 00:00:00+00,71,47,59,-8.7,6,0,0,0,0,226
2020/03/29 00:00:00+00,77,53,65,-2.9,0,0,0,0,M,227
2020/03/30 00:00:00+00,77,53,65,-3.2,0,0,0,0,M,228
2020/03/31 00:00:00+00,79,55,67,-1.4,0,2,0,0,0,229
2020/04/01 00:00:00+00,85,60,72.5,3.8,0,8,0,0,M,230
2020/04/02 00:00:00+00,85,57,71,2.1,0,6,0,0,M,231
2020/04/03 00:00:00+00,84,57,70.5,1.4,0,6,0,0,M,232
2020/04/04 00:00:00+00,84,57,70.5,1.1,0,6,0,0,0,233
2020/04/05 00:00:00+00,86,58,72,2.4,0,7,0,0,M,234
2020/04/06 00:00:00+00,85,58,71.5,1.6,0,7,0,0,M,235
2020/04/07 00:00:00+00,84,56,70,-0.2,0,5,0,0,M,236
2020/04/08 00:00:00+00,83,58,70.5,0.1,0,6,0,0,M,237
2020/04/09 00:00:00+00,74,54,64,-6.7,1,0,0,0,M,238
2020/04/10 00:00:00+00,79,53,66,-5,0,1,0,0,M,239
